occupation,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,year,l4,l3,l2,l1,l0
Phlebotomists,103,533,19,0,84,526,2014,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Phlebotomists
"Miscellaneous healthcare support occupations, including medical equipment preparers",123,509,40,0,83,493,2014,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,"Miscellaneous healthcare support occupations, including medical equipment preparers"
Protective service occupations,2740,833,2211,886,530,617,2014,,,,,
First-line supervisors of correctional officers,46,0,33,0,13,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,First-line supervisors of correctional officers
First-line supervisors of police and detectives,120,1127,103,1149,17,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,First-line supervisors of police and detectives
First-line supervisors of fire fighting and prevention workers,56,1438,54,1448,2,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,First-line supervisors of fire fighting and prevention workers
"First-line supervisors of protective service workers, all other",90,913,74,1004,16,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,"First-line supervisors of protective service workers, all other"
Firefighters,291,1138,274,1142,16,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,Firefighters
Fire inspectors,11,0,9,0,3,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,Fire inspectors
"Bailiffs, correctional officers, and jailers",392,730,279,755,113,687,2014,Total,Service occupations,Protective service occupations,Protective service occupations,"Bailiffs, correctional officers, and jailers"
Detectives and criminal investigators,162,1173,130,1183,32,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,Detectives and criminal investigators
Fish and game wardens,2,0,2,0,0,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,Fish and game wardens
Parking enforcement workers,9,0,6,0,3,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,Parking enforcement workers
Police and sheriff's patrol officers,671,1018,593,1043,78,743,2014,Total,Service occupations,Protective service occupations,Protective service occupations,Police and sheriff's patrol officers
Transit and railroad police,3,0,3,0,0,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,Transit and railroad police
Animal control workers,10,0,7,0,3,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,Animal control workers
Private detectives and investigators,78,1025,49,0,29,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,Private detectives and investigators
Security guards and gaming surveillance officers,710,569,541,589,169,514,2014,Total,Service occupations,Protective service occupations,Protective service occupations,Security guards and gaming surveillance officers
Crossing guards,19,0,12,0,7,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,Crossing guards
Transportation security screeners,28,0,18,0,10,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,Transportation security screeners
"Lifeguards and other recreational, and all other protective service workers",43,0,24,0,18,0,2014,Total,Service occupations,Protective service occupations,Protective service occupations,"Lifeguards and other recreational, and all other protective service workers"
Food preparation and serving related occupations,4017,439,2140,463,1877,419,2014,,,,,
Chefs and head cooks,364,590,302,601,61,531,2014,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Chefs and head cooks
First-line supervisors of food preparation and serving workers,403,516,184,583,219,485,2014,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,First-line supervisors of food preparation and serving workers
Cooks,1166,413,773,416,392,405,2014,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Cooks
Food preparation workers,359,406,178,411,181,401,2014,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Food preparation workers
