occupation,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,year,l4,l3,l2,l1,l0
Veterinarians,55,1455,16,0,39,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Veterinarians
Registered nurses,2382,1116,278,1222,2104,1098,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Registered nurses
Nurse anesthetists,23,0,11,0,12,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Nurse anesthetists
Nurse midwives,6,0,0,0,6,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Nurse midwives
Nurse practitioners,115,1532,11,0,103,1522,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Nurse practitioners
"Health diagnosing and treating practitioners, all other",2,0,0,0,2,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,"Health diagnosing and treating practitioners, all other"
Clinical laboratory technologists and technicians,270,901,69,1089,201,796,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Clinical laboratory technologists and technicians
Dental hygienists,86,914,6,0,80,953,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Dental hygienists
Diagnostic related technologists and technicians,253,964,76,1106,177,908,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Diagnostic related technologists and technicians
Emergency medical technicians and paramedics,175,811,126,899,49,0,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Emergency medical technicians and paramedics
Health practitioner support technologists and technicians,487,636,99,652,389,633,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Health practitioner support technologists and technicians
Licensed practical and licensed vocational nurses,508,743,48,0,459,737,2015,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Licensed practical and licensed vocational nurses
